Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Pennsylvania,Both,All Ages,1999,2017,Suicide Firearm,2002,720,12331031,5.84,5.687822195
Both Sexes,All Races,Rhode Island,Both,All Ages,1999,2017,Suicide Firearm,2002,30,1065995,2.81,2.781402702
Both Sexes,All Races,South Carolina,Both,All Ages,1999,2017,Suicide Firearm,2002,304,4107795,7.4,7.374715825
Both Sexes,All Races,South Dakota,Both,All Ages,1999,2017,Suicide Firearm,2002,50,760020,6.58,6.462878156
Both Sexes,All Races,Tennessee,Both,All Ages,1999,2017,Suicide Firearm,2002,521,5795918,8.99,8.856342563
Both Sexes,All Races,Texas,Both,All Ages,1999,2017,Suicide Firearm,2002,1315,21690325,6.06,6.449768324
Both Sexes,All Races,Utah,Both,All Ages,1999,2017,Suicide Firearm,2002,174,2324815,7.48,8.246044051
Both Sexes,All Races,Vermont,Both,All Ages,1999,2017,Suicide Firearm,2002,54,615442,8.77,8.498757573
Both Sexes,All Races,Virginia,Both,All Ages,1999,2017,Suicide Firearm,2002,491,7286873,6.74,6.758544345
Both Sexes,All Races,Washington,Both,All Ages,1999,2017,Suicide Firearm,2002,437,6052349,7.22,7.21600448
Both Sexes,All Races,West Virginia,Both,All Ages,1999,2017,Suicide Firearm,2002,188,1805414,10.41,9.954056039
Both Sexes,All Races,Wisconsin,Both,All Ages,1999,2017,Suicide Firearm,2002,308,5445162,5.66,5.545339892
Both Sexes,All Races,Wyoming,Both,All Ages,1999,2017,Suicide Firearm,2002,82,500017,16.4,16.26435105
Both Sexes,All Races,,Both,All Ages,1999,2017,Suicide Firearm,2002,17108,287625193,5.95,.
Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Suicide Firearm,2003,399,4503491,8.86,8.672119866
Both Sexes,All Races,Alaska,Both,All Ages,1999,2017,Suicide Firearm,2003,79,648414,12.18,13.19570734
Both Sexes,All Races,Arizona,Both,All Ages,1999,2017,Suicide Firearm,2003,486,5510364,8.82,8.883083286
Both Sexes,All Races,Arkansas,Both,All Ages,1999,2017,Suicide Firearm,2003,258,2724816,9.47,9.246298257
Both Sexes,All Races,California,Both,All Ages,1999,2017,Suicide Firearm,2003,1505,35253159,4.27,4.441826349
Both Sexes,All Races,Colorado,Both,All Ages,1999,2017,Suicide Firearm,2003,363,4528732,8.02,8.182060682
Both Sexes,All Races,Connecticut,Both,All Ages,1999,2017,Suicide Firearm,2003,89,3484336,2.55,2.420318978
Both Sexes,All Races,Delaware,Both,All Ages,1999,2017,Suicide Firearm,2003,42,818003,5.13,5.052372727
Both Sexes,All Races,District of Columbia,Both,All Ages,1999,2017,Suicide Firearm,2003,10,568502,1.76,1.473360819
Both Sexes,All Races,Florida,Both,All Ages,1999,2017,Suicide Firearm,2003,1242,17004085,7.3,6.747736578
Both Sexes,All Races,Georgia,Both,All Ages,1999,2017,Suicide Firearm,2003,656,8622793,7.61,7.978755614
Both Sexes,All Races,Hawaii,Both,All Ages,1999,2017,Suicide Firearm,2003,24,1251154,1.92,1.854553434
Both Sexes,All Races,Idaho,Both,All Ages,1999,2017,Suicide Firearm,2003,137,1363380,10.05,10.35096843
Both Sexes,All Races,Illinois,Both,All Ages,1999,2017,Suicide Firearm,2003,404,12556006,3.22,3.220150766
Both Sexes,All Races,Indiana,Both,All Ages,1999,2017,Suicide Firearm,2003,418,6196638,6.75,6.72712705
Both Sexes,All Races,Iowa,Both,All Ages,1999,2017,Suicide Firearm,2003,178,2941999,6.05,5.880094874
Both Sexes,All Races,Kansas,Both,All Ages,1999,2017,Suicide Firearm,2003,211,2723004,7.75,7.667447523
Both Sexes,All Races,Kentucky,Both,All Ages,1999,2017,Suicide Firearm,2003,400,4117170,9.72,9.502643466
Both Sexes,All Races,Louisiana,Both,All Ages,1999,2017,Suicide Firearm,2003,316,4521042,6.99,7.018272716
Both Sexes,All Races,Maine,Both,All Ages,1999,2017,Suicide Firearm,2003,71,1306513,5.43,5.147111697
Both Sexes,All Races,Maryland,Both,All Ages,1999,2017,Suicide Firearm,2003,239,5496269,4.35,4.366435805
Both Sexes,All Races,Massachusetts,Both,All Ages,1999,2017,Suicide Firearm,2003,122,6422565,1.9,1.810684865
Both Sexes,All Races,Michigan,Both,All Ages,1999,2017,Suicide Firearm,2003,523,10041152,5.21,5.185753456
Both Sexes,All Races,Minnesota,Both,All Ages,1999,2017,Suicide Firearm,2003,244,5053572,4.83,4.794671875
Both Sexes,All Races,Mississippi,Both,All Ages,1999,2017,Suicide Firearm,2003,247,2868312,8.61,8.768367326
Both Sexes,All Races,Missouri,Both,All Ages,1999,2017,Suicide Firearm,2003,411,5709403,7.2,7.068852789
Both Sexes,All Races,Montana,Both,All Ages,1999,2017,Suicide Firearm,2003,120,919630,13.05,12.79397606
