"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","168","3432835","4.89","4.85690064626366"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","55","795699","6.91","6.83916509907197"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","19","574504","3.31","3.25568620682853"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","1117","16356966","6.83","6.71848659297976"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","309","8377038","3.69","3.62407187426074"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","105","1225948","8.56","8.41589569837731"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","74","1319962","5.61","5.7256751691117"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","634","12488445","5.08","5.08832688187179"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","304","6127760","4.96","4.97811432869937"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","147","2931997","5.01","5.01376124982482"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","133","2702162","4.92","4.98561657018455"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","164","4068132","4.03","4.00519428451694"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","141","4477875","3.15","3.20250868747319"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","75","1285692","5.83","5.80663683640663"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","234","5374691","4.35","4.29415223506436"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","319","6397634","4.99","4.84540834642563"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","509","9991120","5.09","5.10112863938518"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","238","4982796","4.78","4.75987268824085"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","89","2852994","3.12","3.16548462281333"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","298","5641142","5.28","5.29840220783763"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","42","906961","4.63","4.64199945375991"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","80","1719836","4.65","4.75405290375524"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","168","2098399","8.01","8.04018301313524"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","88","1255517","7.01","6.81706487183329"
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","421","8492671","4.96","4.86978948743691"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","174","1831690","9.5","9.67765527718004"
"Both Sexes","All Races","New York","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","800","19082838","4.19","4.13331134884566"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","365","8210122","4.45","4.406326157905"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","38","639062","5.95","6.25531304681269"
"Both Sexes","All Races","Ohio","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","548","11387404","4.81","4.80054611427365"
"Both Sexes","All Races","Oklahoma","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","183","3467100","5.28","5.40252117059013"
"Both Sexes","All Races","Oregon","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","225","3467937","6.49","6.40975844362074"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","592","12298970","4.81","4.7833227844676"
"Both Sexes","All Races","Rhode Island","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","63","1057142","5.96","5.77488105139528"
"Both Sexes","All Races","South Carolina","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","156","4064995","3.84","3.80099781136984"
"Both Sexes","All Races","South Dakota","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","62","757972","8.18","8.33268051575129"
"Both Sexes","All Races","Tennessee","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","231","5750789","4.02","3.99254802065099"
"Both Sexes","All Races","Texas","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","848","21319622","3.98","4.02011745099155"
"Both Sexes","All Races","Utah","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","139","2283715","6.09","6.57055117143099"
"Both Sexes","All Races","Vermont","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","30","612223","4.9","4.73614095325508"
"Both Sexes","All Races","Virginia","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","330","7198362","4.58","4.46979569136758"
"Both Sexes","All Races","Washington","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","321","5985722","5.36","5.26459225133412"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","91","1801481","5.05","4.95476225907025"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","322","5406835","5.96","5.89645286164858"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","22","494657","4.45","4.37205344886957"
"Both Sexes","All Races","","Both","All Ages","1999","2017","Suicide Non-Firearm","2001","13753","284968955","4.83","."
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","133","4480089","2.97","2.9888159297285"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","40","642337","6.23","6.11939896443442"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","327","5396255","6.06","6.14756473972882"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","120","2705927","4.43","4.5276854625725"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","1738","34871843","4.98","5.06654570195302"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","347","4490406","7.73","7.63649520125343"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","175","3458749","5.06","4.91624862258901"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","36","806169","4.47","4.48331223951512"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","18","573158","3.14","2.99500257461244"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","1133","16689370","6.79","6.62136234984464"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","295","8508256","3.47","3.44671505200882"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","99","1239613","7.99","7.92028266753687"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","65","1340372","4.85","4.95907718669168"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","679","12525556","5.42","5.41504440712624"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","295","6155967","4.79","4.8198042021004"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","157","2934234","5.35","5.40442331334765"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","161","2713535","5.93","6.0014350991308"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","176","4089875","4.3","4.25705353068037"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","150","4497267","3.34","3.36463655570338"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","87","1295960","6.71","6.64040829494628"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","244","5440389","4.48","4.42933995605135"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","337","6417206","5.25","5.11416371914444"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","528","10015710","5.27","5.27513222071847"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","259","5018935","5.16","5.09029316459483"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","89","2858681","3.11","3.19934402582806"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","270","5674825","4.76","4.76887530413509"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","69","911667","7.57","7.47302963654787"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","96","1728292","5.55","5.71630889017873"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","178","2173791","8.19","8.23217396723744"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","66","1269089","5.2","5.12753451392916"
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","377","8552643","4.41","4.30995952161516"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","138","1855309","7.44","7.56208223947081"
"Both Sexes","All Races","New York","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","817","19137800","4.27","4.21012987752263"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","356","8326201","4.28","4.22963930317491"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","38","638168","5.95","5.9443608496501"
"Both Sexes","All Races","Ohio","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","612","11407889","5.36","5.34766129737758"
"Both Sexes","All Races","Oklahoma","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","189","3489080","5.42","5.53319563057931"
"Both Sexes","All Races","Oregon","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","227","3513424","6.46","6.31146211981268"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","621","12331031","5.04","4.98857407669395"
"Both Sexes","All Races","Rhode Island","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","56","1065995","5.25","5.16329235771916"
"Both Sexes","All Races","South Carolina","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","136","4107795","3.31","3.33532222767567"
"Both Sexes","All Races","South Dakota","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","44","760020","5.79","5.85256461300186"
"Both Sexes","All Races","Tennessee","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","257","5795918","4.43","4.39865176814967"
"Both Sexes","All Races","Texas","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","996","21690325","4.59","4.6184932154087"
"Both Sexes","All Races","Utah","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","166","2324815","7.14","7.88232271451371"
"Both Sexes","All Races","Vermont","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","38","615442","6.17","5.86871159395289"
"Both Sexes","All Races","Virginia","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","308","7286873","4.23","4.14457183640474"
"Both Sexes","All Races","Washington","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","374","6052349","6.18","6.0957893899203"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","88","1805414","4.87","4.83544383528929"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","319","5445162","5.86","5.79317607500967"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","23","500017","4.6","4.5647629768215"
"Both Sexes","All Races","","Both","All Ages","1999","2017","Suicide Non-Firearm","2002","14547","287625193","5.06","."
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Non-Firearm","2003","122","4503491","2.71","2.73120159817031"
